telefon adı,işletim sistemi,fiyat,bağlantı linki
Casper Via.S 64GB Mavi Akıllı Telefon,Android,2.699 TL,https://www.teknosa.com/casper-vias-64gb-mavi-akilli-telefon-p-125077265
Casper Via.S 64GB Beyaz Akıllı Telefon,Android,2.699 TL,https://www.teknosa.com/casper-vias-64gb-beyaz-akilli-telefon-p-125077263
TCL 10L Beyaz Akıllı Telefon,Android,2.299 TL,https://www.teknosa.com/tcl-10l-beyaz-akilli-telefon-p-125077630
Realme 6i 4GB/128GB Soda Mavi Akıllı Telefon,Android,2.399 TL,https://www.teknosa.com/realme-6i-4gb128gb-soda-mavi-akilli-telefon-p-125077718
Casper Via X20 128GB Premium Mavi Akıllı Telefon,Android,3.499 TL,https://www.teknosa.com/casper-via-x20-128gb-premium-mavi-akilli-telefon-p-125077707
Realme C3 3GB/64GB Mavi Akıllı Telefon,Android,2.199 TL,https://www.teknosa.com/realme-c3-3gb64gb-mavi-akilli-telefon-p-125077702
Vestel Venus Go Siyah Akıllı Telefon,Android,1.029 TL,https://www.teknosa.com/vestel-venus-go-siyah-akilli-telefon-p-125077218
Huawei Y6 2019 Midnight Black Akıllı Telefon,Android,1.899 TL,https://www.teknosa.com/huawei-y6-2019-midnight-black-akilli-telefon-p-125077103
Huawei Y6 2019 Safir Mavi Akıllı Telefon,Android,1.899 TL,https://www.teknosa.com/huawei-y6-2019-safir-mavi-akilli-telefon-p-125077104
Samsung Galaxy Note20 Bronze Akıllı Telefon,Android,8.699 TL,https://www.teknosa.com/samsung-galaxy-note20-bronze-akilli-telefon-p-125077713
Samsung Galaxy Note20 Gray Akıllı Telefon,Android,8.699 TL,https://www.teknosa.com/samsung-galaxy-note20-gray-akilli-telefon-p-125077711
Samsung Galaxy Note20 Green Akıllı Telefon,Android,8.699 TL,https://www.teknosa.com/samsung-galaxy-note20-green-akilli-telefon-p-125077712
Huawei Y5 2019 Amber Brown Akıllı Telefon,Android,1.699 TL,https://www.teknosa.com/huawei-y5-2019-amber-brown-akilli-telefon-p-125077156
Alcatel 1S 2020 32GB Yeşil Akıllı Telefon,Android,1.949 TL,https://www.teknosa.com/alcatel-1s-2020-32gb-yesil-akilli-telefon-p-125077632
Apple iPhone 12 Pro 512GB Gold Akıllı Telefon,IOS,17.999 TL,https://www.teknosa.com/apple-iphone-12-pro-512gb-gold-akilli-telefon-p-125077851
Apple iPhone SE 256GB Red Akıllı Telefon,IOS,5.999 TL,https://www.teknosa.com/apple-iphone-se-256gb-red-akilli-telefon-p-125077906
Apple iPhone SE 128GB White Akıllı Telefon,IOS,5.399 TL,https://www.teknosa.com/apple-iphone-se-128gb-white-akilli-telefon-p-125077902
Apple iPhone SE 64GB White Akıllı Telefon,IOS,4.899 TL,https://www.teknosa.com/apple-iphone-se-64gb-white-akilli-telefon-p-125077899
Apple iPhone 12 Pro 512GB Silver Akıllı Telefon,IOS,17.999 TL,https://www.teknosa.com/apple-iphone-12-pro-512gb-silver-akilli-telefon-p-125077850
Apple iPhone 12 Mini 256GB Blue Akıllı Telefon,IOS,10.899 TL,https://www.teknosa.com/apple-iphone-12-mini-256gb-blue-akilli-telefon-p-125077839
Apple iPhone 12 256GB Blue Akıllı Telefon,IOS,12.499 TL,https://www.teknosa.com/apple-iphone-12-256gb-blue-akilli-telefon-p-125077824
Apple iPhone 11 256GB Green Akıllı Telefon,IOS,9.299 TL,https://www.teknosa.com/apple-iphone-11-256gb-green-akilli-telefon-p-125077810
Apple iPhone 12 Pro Max 512GB Gold Akıllı Telefon,IOS,19.999 TL,https://www.teknosa.com/apple-iphone-12-pro-max-512gb-gold-akilli-telefon-p-125077863
Apple iPhone XR 128GB White Akıllı Telefon,IOS,6.899 TL,https://www.teknosa.com/apple-iphone-xr-128gb-white-akilli-telefon-p-125077914
Apple iPhone XR 128GB Black Akıllı Telefon,IOS,6.899 TL,https://www.teknosa.com/apple-iphone-xr-128gb-black-akilli-telefon-p-125077913
Apple iPhone XR 64GB White Akıllı Telefon,IOS,6.499 TL,https://www.teknosa.com/apple-iphone-xr-64gb-white-akilli-telefon-p-125077908
Apple iPhone 12 Pro Max 256GB Silver Akıllı Telefon,IOS,17.999 TL,https://www.teknosa.com/apple-iphone-12-pro-max-256gb-silver-akilli-telefon-p-125077858
Apple iPhone 11 256GB Red Akıllı Telefon,IOS,9.299 TL,https://www.teknosa.com/apple-iphone-11-256gb-red-akilli-telefon-p-125077807
Apple iPhone 12 Mini 256GB White Akıllı Telefon,IOS,10.899 TL,https://www.teknosa.com/apple-iphone-12-mini-256gb-white-akilli-telefon-p-125077837
Apple iPhone XR 64GB Black Akıllı Telefon,IOS,6.499 TL,https://www.teknosa.com/apple-iphone-xr-64gb-black-akilli-telefon-p-125077907
Apple iPhone 11 128GB Yellow Akıllı Telefon,IOS,8.199 TL,https://www.teknosa.com/apple-iphone-11-128gb-yellow-akilli-telefon-p-125077802
Apple iPhone XR 128GB (Product)Red Akıllı Telefon,IOS,6.899 TL,https://www.teknosa.com/apple-iphone-xr-128gb-productred-akilli-telefon-p-125076890
Apple iPhone 12 Mini 256GB (Product)Red Akıllı Telefon,IOS,10.899 TL,https://www.teknosa.com/apple-iphone-12-mini-256gb-productred-akilli-telefon-p-125077838
Apple iPhone XR 64GB (Product)Red Akıllı Telefon,IOS,6.499 TL,https://www.teknosa.com/apple-iphone-xr-64gb-productred-akilli-telefon-p-125076903
Apple iPhone 12 256GB (Product)Red Akıllı Telefon,IOS,12.499 TL,https://www.teknosa.com/apple-iphone-12-256gb-productred-akilli-telefon-p-125077823
Apple iPhone 12 Mini 128GB (Product)Red Akıllı Telefon,IOS,9.899 TL,https://www.teknosa.com/apple-iphone-12-mini-128gb-productred-akilli-telefon-p-125077833
Apple iPhone 12 Mini 256GB Black Akıllı Telefon,IOS,10.899 TL,https://www.teknosa.com/apple-iphone-12-mini-256gb-black-akilli-telefon-p-125077836
Apple iPhone 12 Mini 64GB White Akıllı Telefon,IOS,9.399 TL,https://www.teknosa.com/apple-iphone-12-mini-64gb-white-akilli-telefon-p-125077827
Apple iPhone 12 256GB Black Akıllı Telefon,IOS,12.499 TL,https://www.teknosa.com/apple-iphone-12-256gb-black-akilli-telefon-p-125077821
Apple iPhone 12 Pro 256GB Silver Akıllı Telefon,IOS,15.999 TL,https://www.teknosa.com/apple-iphone-12-pro-256gb-silver-akilli-telefon-p-125077846
Apple iPhone 12 Mini 64GB Blue Akıllı Telefon,IOS,9.399 TL,https://www.teknosa.com/apple-iphone-12-mini-64gb-blue-akilli-telefon-p-125077829
Apple iPhone 12 Mini 256GB Green Akıllı Telefon,IOS,10.899 TL,https://www.teknosa.com/apple-iphone-12-mini-256gb-green-akilli-telefon-p-125077840
Apple iPhone 12 128GB Green Akıllı Telefon,IOS,11.499 TL,https://www.teknosa.com/apple-iphone-12-128gb-green-akilli-telefon-p-125077820
Apple iPhone 12 256GB White Akıllı Telefon,IOS,12.499 TL,https://www.teknosa.com/apple-iphone-12-256gb-white-akilli-telefon-p-125077822
Apple iPhone 12 Mini 128GB Green Akıllı Telefon,IOS,9.899 TL,https://www.teknosa.com/apple-iphone-12-mini-128gb-green-akilli-telefon-p-125077835
Apple iPhone 12 Mini 128GB White Akıllı Telefon,IOS,9.899 TL,https://www.teknosa.com/apple-iphone-12-mini-128gb-white-akilli-telefon-p-125077832
Apple iPhone 12 Mini 128GB Black Akıllı Telefon,IOS,9.899 TL,https://www.teknosa.com/apple-iphone-12-mini-128gb-black-akilli-telefon-p-125077831
Apple iPhone SE 256GB White Akıllı Telefon,IOS,5.999 TL,https://www.teknosa.com/apple-iphone-se-256gb-white-akilli-telefon-p-125077905
Apple iPhone 11 256GB Black Akıllı Telefon,IOS,9.299 TL,https://www.teknosa.com/apple-iphone-11-256gb-black-akilli-telefon-p-125077805
Apple iPhone 11 64GB Yellow Akıllı Telefon,IOS,7.599 TL,https://www.teknosa.com/apple-iphone-11-64gb-yellow-akilli-telefon-p-125077796
Apple iPhone 12 Mini 64GB Black Akıllı Telefon,IOS,9.399 TL,https://www.teknosa.com/apple-iphone-12-mini-64gb-black-akilli-telefon-p-125077826
Apple iPhone 12 Mini 64GB (Product)Red Akıllı Telefon,IOS,9.399 TL,https://www.teknosa.com/apple-iphone-12-mini-64gb-productred-akilli-telefon-p-125077828
Apple iPhone 12 64GB White Akıllı Telefon,IOS,10.999 TL,https://www.teknosa.com/apple-iphone-12-64gb-white-akilli-telefon-p-125077812
Apple iPhone 12 Pro Max 512GB Silver Akıllı Telefon,IOS,19.999 TL,https://www.teknosa.com/apple-iphone-12-pro-max-512gb-silver-akilli-telefon-p-125077862
Apple iPhone 12 Mini 64GB Green Akıllı Telefon,IOS,9.399 TL,https://www.teknosa.com/apple-iphone-12-mini-64gb-green-akilli-telefon-p-125077830
Apple iPhone SE 64GB Black Akıllı Telefon,IOS,4.899 TL,https://www.teknosa.com/apple-iphone-se-64gb-black-akilli-telefon-p-125077898
Apple iPhone 12 64GB Green Akıllı Telefon,IOS,10.999 TL,https://www.teknosa.com/apple-iphone-12-64gb-green-akilli-telefon-p-125077815
Apple iPhone 12 64GB (Product)Red Akıllı Telefon,IOS,10.999 TL,https://www.teknosa.com/apple-iphone-12-64gb-productred-akilli-telefon-p-125077813
Apple iPhone 12 Pro 256GB Gold Akıllı Telefon,IOS,15.999 TL,https://www.teknosa.com/apple-iphone-12-pro-256gb-gold-akilli-telefon-p-125077847
Casper Via E4 32GB Siyah Akıllı Telefon,Android,2.099 TL,https://www.teknosa.com/casper-via-e4-32gb-siyah-akilli-telefon-p-125077967
Samsung Galaxy S21 Ultra 5G Phantom Black  Akıllı Telefon,Android,15.999 TL,https://www.teknosa.com/samsung-galaxy-s21-ultra-5g-phantom-black-akilli-telefon-p-125077982
iPhone 11 256GB White,IOS,9.299 TL,https://www.teknosa.com/iphone-11-256gb-white-p-125077806
Tecno Pova 128GB Mor Akıllı Telefon,Android,2.699 TL,https://www.teknosa.com/tecno-pova-128gb-mor-akilli-telefon-p-125077949
Samsung Galaxy S21 5G Phantom Violet Akıllı Telefon,Android,9.999 TL,https://www.teknosa.com/samsung-galaxy-s21-5g-phantom-violet-akilli-telefon-p-125077974
Elephone E10 Pro 128GB Gri Akıllı Telefon,Android,2.999 TL,https://www.teknosa.com/elephone-e10-pro-128gb-gri-akilli-telefon-p-125077945
Apple iPhone 12 128GB (Product)Red Akıllı Telefon,IOS,11.499 TL,https://www.teknosa.com/apple-iphone-12-128gb-productred-akilli-telefon-p-125077818
Samsung Galaxy A12 Akıllı Telefon Beyaz,Android,2.899 TL,https://www.teknosa.com/samsung-galaxy-a12-akilli-telefon-beyaz-p-125077998
Elephone PX Pro 128GB Mavİ Akıllı Telefon,Android,3.199 TL,https://www.teknosa.com/elephone-px-pro-128gb-mavi-akilli-telefon-p-125077948
Apple iPhone 12 64GB Black Akıllı Telefon,IOS,10.999 TL,https://www.teknosa.com/apple-iphone-12-64gb-black-akilli-telefon-p-125077811
Samsung Galaxy S21 Ultra 5G 256GB Phantom Black  Akıllı Telefon,Android,16.499 TL,https://www.teknosa.com/samsung-galaxy-s21-ultra-5g-256gb-phantom-black-akilli-telefon-p-125077984
Casper Via E4 32GB Kırmızı Akıllı Telefon,Android,2.099 TL,https://www.teknosa.com/casper-via-e4-32gb-kirmizi-akilli-telefon-p-125077965
Tecno Spark 128GB Siyah Akıllı Telefon,Android,2.499 TL,https://www.teknosa.com/tecno-spark-128gb-siyah-akilli-telefon-p-125077953
Samsung Galaxy S21+ 5G 256GB Phantom Black  Akıllı Telefon,Android,13.499 TL,https://www.teknosa.com/samsung-galaxy-s21-5g-256gb-phantom-black-akilli-telefon-p-125077979
Samsung Galaxy A12 Akıllı Telefon Siyah,Android,2.899 TL,https://www.teknosa.com/samsung-galaxy-a12-akilli-telefon-siyah-p-125077997
Elephone E10 64GB Siyah Akıllı Telefon,Android,2.699 TL,https://www.teknosa.com/elephone-e10-64gb-siyah-akilli-telefon-p-125077943
Samsung Galaxy S21+ 5G 256GB Phantom Silver Akıllı Telefon,Android,13.499 TL,https://www.teknosa.com/samsung-galaxy-s21-5g-256gb-phantom-silver-akilli-telefon-p-125077980
General Mobile GM 20 Single Gece Kırmızısı Akıllı Telefon,Android,1.699 TL,https://www.teknosa.com/general-mobile-gm-20-single-gece-kirmizisi-akilli-telefon-p-125077968
Xiaomi Redmi 9C 32GB Mavi Akıllı Telefon,Android,2.199 TL,https://www.teknosa.com/xiaomi-redmi-9c-32gb-mavi-akilli-telefon-p-125077923
Vivo Y70 128 GB Siyah Akıllı Telefon,Android,3.699 TL,https://www.teknosa.com/vivo-y70-128-gb-siyah-akilli-telefon-p-125077957
Xiaomi Redmi 9C 32GB Turuncu  Akıllı Telefon,Android,2.199 TL,https://www.teknosa.com/xiaomi-redmi-9c-32gb-turuncu-akilli-telefon-p-125077924
Tecno Camon16 128GB Gri  Akıllı Telefon,Android,4.499 TL,https://www.teknosa.com/tecno-camon16-128gb-gri-akilli-telefon-p-125077951
Tecno Pova 128GB Mavi Akıllı Telefon,Android,2.699 TL,https://www.teknosa.com/tecno-pova-128gb-mavi-akilli-telefon-p-125077950
Vivo Y20 64GB Mavi Akıllı Telefon,Android,2.799 TL,https://www.teknosa.com/vivo-y20-64gb-mavi-akilli-telefon-p-125077960
Vivo Y70 128GB Mavi Akıllı Telefon,Android,3.699 TL,https://www.teknosa.com/vivo-y70-128gb-mavi-akilli-telefon-p-125077958
Vivo X51 256GB Gri Akıllı Telefon,Android,8.999 TL,https://www.teknosa.com/vivo-x51-256gb-gri-akilli-telefon-p-125077954
Vivo Y20 64GB Siyah Akıllı Telefon,Android,2.799 TL,https://www.teknosa.com/vivo-y20-64gb-siyah-akilli-telefon-p-125077959
Elephone E10 Pro 128GB Mavi Akıllı Telefon,Android,2.999 TL,https://www.teknosa.com/elephone-e10-pro-128gb-mavi-akilli-telefon-p-125077946
Apple iPhone SE 128GB Red Akıllı Telefon,IOS,5.399 TL,https://www.teknosa.com/apple-iphone-se-128gb-red-akilli-telefon-p-125077903
Samsung Galaxy S21 5G Phantom Gray Akıllı Telefon,Android,9.999 TL,https://www.teknosa.com/samsung-galaxy-s21-5g-phantom-gray-akilli-telefon-p-125077972
Samsung Galaxy S21+ 5g 256GB Phantom Violet Akıllı Telefon,Android,13.499 TL,https://www.teknosa.com/samsung-galaxy-s21-5g-256gb-phantom-violet-akilli-telefon-p-125077981
